Caller,Target,Params
paste_clipboard,,""
	paste_clipboard,CloseClipboard
	paste_clipboard,CloseHandle
	paste_clipboard,GetClipboardData
	paste_clipboard,GlobalLock
	paste_clipboard,GlobalSize
	paste_clipboard,GlobalUnlock
	paste_clipboard,OpenClipboard
	paste_clipboard,read_csv
	paste_clipboard,redraw_rows
	paste_clipboard,snap_to_cursor
redraw_rows,,"unsigned lo, unsigned hi"
	redraw_rows,get_cell_rect
	redraw_rows,InvalidateRect
	redraw_rows,max
	redraw_rows,min
	redraw_rows,SetRect
resize_column,,"unsigned col, int dx"
	resize_column,calc_visible_fields
save_csv,,"TCHAR *fn"
	save_csv,fclose
	save_csv,get_cell_x
	save_csv,get_cell_y
	save_csv,MessageBox
	save_csv,RGB
	save_csv,write_csv
	save_csv,_wfopen
scroll,,"int row, int col"
	scroll,max
	scroll,redraw_rows
setup_resources,,"HWND hwnd"
	setup_resources,init_ui_display
	setup_resources,init_ui_input
set_anchor,,""
set_cell,,"Table *table, unsigned row, unsigned col, char *str, unsigned len"
	set_cell,assert
	set_cell,force_cell
	set_cell,max
	set_cell,memcpy
	set_cell,need_escape
	set_cell,read_csv
snap_to_cursor,,""
	snap_to_cursor,DrawLine
	snap_to_cursor,get_cell_rect
	snap_to_cursor,get_cell_x
	snap_to_cursor,LineTo
	snap_to_cursor,max
	snap_to_cursor,MoveToEx
	snap_to_cursor,redraw_rows
	snap_to_cursor,SetRect
start_edit,,"int edit_existing"
	start_edit,DrawTextA
	start_edit,get_cell_rect
	start_edit,is_editing
	start_edit,MoveWindow
	start_edit,SetFocus
	start_edit,SetWindowText
	start_edit,SetWindowTextA
	start_edit,ShowWindow
	start_edit,try_cell
	start_edit,UnionRect
wm_char,,"HWND hwnd, unsigned wparam"
	wm_char,command
	wm_char,GetOpenFileName
	wm_char,GetSaveFileName
	wm_char,IsShiftDown
	wm_char,SendMessage
wm_dropfiles,,"HWND hwnd, HDROP drop"
	wm_dropfiles,command
	wm_dropfiles,DragQueryFile
wm_keydown,,"HWND hwnd, unsigned wparam"
	wm_keydown,command
	wm_keydown,exit_mouse_mode
